timestamp                     	host_id   	cur_train_loss	cur_val_loss	cur_patience	best_loss 	cur_epoch 
2018-11-19_18:47:02           	vu        	-0.7261   	-0.7710   	0         	-0.7710   	1         
2018-11-19_18:55:25           	nih       	-0.8330   	-0.8565   	0         	-0.8565   	2         
2018-11-19_18:59:49           	vu        	-0.8924   	-0.9044   	0         	-0.9044   	3         
2018-11-19_19:05:45           	nih       	-0.8686   	-0.8809   	1         	-0.9044   	4         
2018-11-19_19:10:06           	vu        	-0.9170   	-0.9273   	0         	-0.9273   	5         
2018-11-19_19:14:22           	nih       	-0.8846   	-0.8979   	1         	-0.9273   	6         
2018-11-19_19:18:45           	vu        	-0.9323   	-0.9413   	0         	-0.9413   	7         
2018-11-19_19:23:02           	nih       	-0.8968   	-0.8987   	1         	-0.9413   	8         
2018-11-19_19:27:25           	vu        	-0.9414   	-0.9497   	0         	-0.9497   	9         
2018-11-19_19:31:44           	nih       	-0.9064   	-0.9109   	1         	-0.9497   	10        
2018-11-19_19:36:06           	vu        	-0.9489   	-0.9475   	2         	-0.9497   	11        
2018-11-19_19:40:29           	nih       	-0.9131   	-0.9190   	3         	-0.9497   	12        
2018-11-19_19:44:58           	vu        	-0.9540   	-0.9553   	0         	-0.9553   	13        
2018-11-19_19:49:21           	nih       	-0.9179   	-0.9158   	1         	-0.9553   	14        
2018-11-19_19:53:53           	vu        	-0.9572   	-0.9607   	0         	-0.9607   	15        
2018-11-19_19:58:23           	nih       	-0.9219   	-0.9231   	1         	-0.9607   	16        
2018-11-19_20:02:58           	vu        	-0.9612   	-0.9626   	0         	-0.9626   	17        
2018-11-19_20:07:35           	nih       	-0.9245   	-0.9186   	1         	-0.9626   	18        
2018-11-19_20:12:06           	vu        	-0.9641   	-0.9657   	0         	-0.9657   	19        
2018-11-19_20:16:40           	nih       	-0.9263   	-0.9189   	1         	-0.9657   	20        
2018-11-19_20:21:15           	vu        	-0.9658   	-0.9668   	0         	-0.9668   	21        
2018-11-19_20:25:58           	nih       	-0.9306   	-0.9310   	1         	-0.9668   	22        
2018-11-19_20:30:36           	vu        	-0.9688   	-0.9697   	0         	-0.9697   	23        
2018-11-19_20:35:15           	nih       	-0.9323   	-0.9346   	1         	-0.9697   	24        
2018-11-19_20:39:48           	vu        	-0.9695   	-0.9718   	0         	-0.9718   	25        
2018-11-19_20:44:39           	nih       	-0.9345   	-0.9370   	1         	-0.9718   	26        
2018-11-19_20:49:22           	vu        	-0.9719   	-0.9720   	0         	-0.9720   	27        
2018-11-19_20:54:18           	nih       	-0.9367   	-0.9357   	1         	-0.9720   	28        
2018-11-19_20:58:58           	vu        	-0.9730   	-0.9723   	0         	-0.9723   	29        
2018-11-19_21:03:49           	nih       	-0.9366   	-0.9306   	1         	-0.9723   	30        
2018-11-19_21:08:35           	vu        	-0.9736   	-0.9744   	0         	-0.9744   	31        
2018-11-19_21:13:34           	nih       	-0.9392   	-0.9376   	1         	-0.9744   	32        
2018-11-19_21:18:14           	vu        	-0.9742   	-0.9747   	0         	-0.9747   	33        
2018-11-19_21:23:13           	nih       	-0.9407   	-0.9303   	1         	-0.9747   	34        
2018-11-19_21:27:54           	vu        	-0.9756   	-0.9764   	0         	-0.9764   	35        
2018-11-19_21:32:54           	nih       	-0.9420   	-0.9407   	1         	-0.9764   	36        
