timestamp                     	host_id   	cur_train_loss	cur_val_loss	cur_patience	best_loss 	cur_epoch 
2018-11-20_05:53:55           	vu        	-0.6980   	-0.5857   	0         	-0.5857   	1         
2018-11-20_05:56:30           	nih       	-0.8080   	-0.6694   	0         	-0.6694   	2         
2018-11-20_05:58:51           	vu        	-0.8704   	-0.8325   	0         	-0.8325   	3         
2018-11-20_06:01:05           	nih       	-0.8669   	-0.8092   	1         	-0.8325   	4         
2018-11-20_06:03:28           	vu        	-0.9016   	-0.8773   	0         	-0.8773   	5         
2018-11-20_06:05:43           	nih       	-0.8925   	-0.8837   	0         	-0.8837   	6         
2018-11-20_06:08:06           	vu        	-0.9177   	-0.9133   	0         	-0.9133   	7         
2018-11-20_06:10:26           	nih       	-0.9060   	-0.9038   	1         	-0.9133   	8         
2018-11-20_06:12:45           	vu        	-0.9293   	-0.9232   	0         	-0.9232   	9         
2018-11-20_06:15:03           	nih       	-0.9187   	-0.9211   	1         	-0.9232   	10        
2018-11-20_06:17:26           	vu        	-0.9374   	-0.9388   	0         	-0.9388   	11        
2018-11-20_06:19:52           	nih       	-0.9278   	-0.9293   	1         	-0.9388   	12        
2018-11-20_06:22:19           	vu        	-0.9441   	-0.9404   	0         	-0.9404   	13        
2018-11-20_06:24:45           	nih       	-0.9360   	-0.9382   	1         	-0.9404   	14        
2018-11-20_06:27:13           	vu        	-0.9494   	-0.9506   	0         	-0.9506   	15        
2018-11-20_06:29:40           	nih       	-0.9417   	-0.9437   	1         	-0.9506   	16        
2018-11-20_06:32:08           	vu        	-0.9538   	-0.9549   	0         	-0.9549   	17        
2018-11-20_06:34:39           	nih       	-0.9463   	-0.9523   	1         	-0.9549   	18        
2018-11-20_06:37:15           	vu        	-0.9582   	-0.9566   	0         	-0.9566   	19        
2018-11-20_06:39:53           	nih       	-0.9511   	-0.9562   	1         	-0.9566   	20        
2018-11-20_06:42:24           	vu        	-0.9615   	-0.9624   	0         	-0.9624   	21        
2018-11-20_06:45:10           	nih       	-0.9547   	-0.9549   	1         	-0.9624   	22        
2018-11-20_06:47:44           	vu        	-0.9641   	-0.9614   	2         	-0.9624   	23        
2018-11-20_06:50:32           	nih       	-0.9576   	-0.9613   	3         	-0.9624   	24        
2018-11-20_06:53:05           	vu        	-0.9664   	-0.9656   	0         	-0.9656   	25        
2018-11-20_06:55:56           	nih       	-0.9600   	-0.9639   	1         	-0.9656   	26        
2018-11-20_06:58:39           	vu        	-0.9683   	-0.9665   	0         	-0.9665   	27        
2018-11-20_07:01:34           	nih       	-0.9617   	-0.9618   	1         	-0.9665   	28        
2018-11-20_07:04:14           	vu        	-0.9698   	-0.9713   	0         	-0.9713   	29        
2018-11-20_07:07:08           	nih       	-0.9638   	-0.9673   	1         	-0.9713   	30        
2018-11-20_07:09:50           	vu        	-0.9716   	-0.9697   	2         	-0.9713   	31        
2018-11-20_07:12:53           	nih       	-0.9654   	-0.9668   	3         	-0.9713   	32        
2018-11-20_07:15:38           	vu        	-0.9726   	-0.9708   	4         	-0.9713   	33        
