timestamp                     	host_id   	cur_train_loss	cur_val_loss	cur_patience	best_loss 	cur_epoch 
2018-11-21_16:54:01           	vu        	-0.4644   	-0.4584   	0         	-0.4584   	1         
2018-11-21_16:58:30           	nih       	-0.5485   	-0.5612   	0         	-0.5612   	2         
2018-11-21_17:00:39           	vu        	-0.6068   	-0.6221   	0         	-0.6221   	3         
2018-11-21_17:02:57           	nih       	-0.5913   	-0.5991   	1         	-0.6221   	4         
2018-11-21_17:05:15           	vu        	-0.6482   	-0.6552   	0         	-0.6552   	5         
2018-11-21_17:07:37           	nih       	-0.6161   	-0.6287   	1         	-0.6552   	6         
2018-11-21_17:09:55           	vu        	-0.6741   	-0.6851   	0         	-0.6851   	7         
2018-11-21_17:12:24           	nih       	-0.6394   	-0.6481   	1         	-0.6851   	8         
2018-11-21_17:14:38           	vu        	-0.6969   	-0.6997   	0         	-0.6997   	9         
2018-11-21_17:17:13           	nih       	-0.6603   	-0.6703   	1         	-0.6997   	10        
2018-11-21_17:19:31           	vu        	-0.7159   	-0.7270   	0         	-0.7270   	11        
2018-11-21_17:22:09           	nih       	-0.6796   	-0.6874   	1         	-0.7270   	12        
2018-11-21_17:24:26           	vu        	-0.7361   	-0.7454   	0         	-0.7454   	13        
2018-11-21_17:27:06           	nih       	-0.6990   	-0.7150   	1         	-0.7454   	14        
2018-11-21_17:29:23           	vu        	-0.7538   	-0.7616   	0         	-0.7616   	15        
2018-11-21_17:32:06           	nih       	-0.7315   	-0.7397   	1         	-0.7616   	16        
2018-11-21_17:34:31           	vu        	-0.7704   	-0.7770   	0         	-0.7770   	17        
2018-11-21_17:37:20           	nih       	-0.7517   	-0.7537   	1         	-0.7770   	18        
2018-11-21_17:39:40           	vu        	-0.7861   	-0.7889   	0         	-0.7889   	19        
2018-11-21_17:42:25           	nih       	-0.7670   	-0.7681   	1         	-0.7889   	20        
2018-11-21_17:44:52           	vu        	-0.7991   	-0.8026   	0         	-0.8026   	21        
2018-11-21_17:47:43           	nih       	-0.7814   	-0.7868   	1         	-0.8026   	22        
2018-11-21_17:50:15           	vu        	-0.8126   	-0.8175   	0         	-0.8175   	23        
2018-11-21_17:53:20           	nih       	-0.7955   	-0.8026   	1         	-0.8175   	24        
2018-11-21_17:55:49           	vu        	-0.8249   	-0.8280   	0         	-0.8280   	25        
2018-11-21_17:58:50           	nih       	-0.8081   	-0.8099   	1         	-0.8280   	26        
2018-11-21_18:01:26           	vu        	-0.8364   	-0.8399   	0         	-0.8399   	27        
2018-11-21_18:04:33           	nih       	-0.8213   	-0.8265   	1         	-0.8399   	28        
2018-11-21_18:07:03           	vu        	-0.8472   	-0.8516   	0         	-0.8516   	29        
2018-11-21_18:10:09           	nih       	-0.8330   	-0.8353   	1         	-0.8516   	30        
2018-11-21_18:12:42           	vu        	-0.8564   	-0.8598   	0         	-0.8598   	31        
2018-11-21_18:15:58           	nih       	-0.8444   	-0.8461   	1         	-0.8598   	32        
2018-11-21_18:18:34           	vu        	-0.8664   	-0.8681   	0         	-0.8681   	33        
2018-11-21_18:21:51           	nih       	-0.8520   	-0.8534   	1         	-0.8681   	34        
2018-11-21_18:24:27           	vu        	-0.8749   	-0.8789   	0         	-0.8789   	35        
2018-11-21_18:27:47           	nih       	-0.8626   	-0.8656   	1         	-0.8789   	36        
2018-11-21_18:30:22           	vu        	-0.8835   	-0.8875   	0         	-0.8875   	37        
2018-11-21_18:33:47           	nih       	-0.8711   	-0.8725   	1         	-0.8875   	38        
2018-11-21_18:36:28           	vu        	-0.8917   	-0.8938   	0         	-0.8938   	39        
2018-11-21_18:40:00           	nih       	-0.8809   	-0.8807   	1         	-0.8938   	40        
2018-11-21_18:42:56           	vu        	-0.8983   	-0.9015   	0         	-0.9015   	41        
2018-11-21_18:46:27           	nih       	-0.8867   	-0.8757   	1         	-0.9015   	42        
2018-11-21_18:49:06           	vu        	-0.9053   	-0.9075   	0         	-0.9075   	43        
2018-11-21_19:01:14           	nih       	-0.8897   	-0.8933   	1         	-0.9075   	44        
2018-11-21_19:03:57           	vu        	-0.9106   	-0.9145   	0         	-0.9145   	45        
2018-11-21_19:06:23           	nih       	-0.8977   	-0.9019   	1         	-0.9145   	46        
2018-11-21_19:09:09           	vu        	-0.9170   	-0.9183   	0         	-0.9183   	47        
2018-11-21_19:11:36           	nih       	-0.9032   	-0.9064   	1         	-0.9183   	48        
2018-11-21_19:14:24           	vu        	-0.9222   	-0.9259   	0         	-0.9259   	49        
2018-11-21_19:16:52           	nih       	-0.9117   	-0.9151   	1         	-0.9259   	50        
2018-11-21_19:19:39           	vu        	-0.9273   	-0.9298   	0         	-0.9298   	51        
2018-11-21_19:22:12           	nih       	-0.9154   	-0.9216   	1         	-0.9298   	52        
2018-11-21_19:25:09           	vu        	-0.9320   	-0.9322   	0         	-0.9322   	53        
2018-11-21_19:27:46           	nih       	-0.9210   	-0.9257   	1         	-0.9322   	54        
2018-11-21_19:30:39           	vu        	-0.9365   	-0.9377   	0         	-0.9377   	55        
2018-11-21_19:33:20           	nih       	-0.9270   	-0.9281   	1         	-0.9377   	56        
2018-11-21_19:36:21           	vu        	-0.9410   	-0.9424   	0         	-0.9424   	57        
2018-11-21_19:38:59           	nih       	-0.9296   	-0.8888   	1         	-0.9424   	58        
2018-11-21_19:41:55           	vu        	-0.9440   	-0.9461   	0         	-0.9461   	59        
2018-11-21_19:44:44           	nih       	-0.9349   	-0.9353   	1         	-0.9461   	60        
