timestamp                     	host_id   	cur_train_loss	cur_val_loss	cur_patience	best_loss 	cur_epoch 
2018-11-26_17:33:13           	nih       	-0.4469   	-0.3626   	0         	0.0000    	0         
2018-11-26_17:33:13           	nih       	-0.5621   	-0.4531   	0         	0.0000    	1         
2018-11-26_17:33:13           	nih       	-0.5913   	-0.5513   	0         	0.0000    	2         
2018-11-26_17:33:13           	nih       	-0.6112   	-0.5648   	0         	0.0000    	3         
2018-11-26_17:33:13           	nih       	-0.6270   	-0.5794   	0         	0.0000    	4         
2018-11-26_17:33:13           	nih       	-0.6408   	-0.6264   	0         	0.0000    	5         
2018-11-26_17:33:13           	nih       	-0.6533   	-0.6365   	0         	0.0000    	6         
2018-11-26_17:33:13           	nih       	-0.6645   	-0.6440   	0         	0.0000    	7         
2018-11-26_17:33:13           	nih       	-0.6746   	-0.6606   	0         	0.0000    	8         
2018-11-26_17:33:13           	nih       	-0.6819   	-0.6809   	0         	0.0000    	9         
2018-11-26_17:33:13           	nih       	-0.6954   	-0.6915   	0         	0.0000    	10        
2018-11-26_17:33:13           	nih       	-0.7054   	-0.7001   	0         	0.0000    	11        
2018-11-26_17:33:14           	nih       	-0.7131   	-0.6992   	0         	0.0000    	12        
2018-11-26_17:33:14           	nih       	-0.7224   	-0.7185   	0         	0.0000    	13        
2018-11-26_17:33:14           	nih       	-0.7308   	-0.7239   	0         	0.0000    	14        
2018-11-26_17:33:14           	nih       	-0.7392   	-0.7357   	0         	0.0000    	15        
2018-11-26_17:33:14           	nih       	-0.7457   	-0.7447   	0         	0.0000    	16        
2018-11-26_17:33:14           	nih       	-0.7537   	-0.7520   	0         	0.0000    	17        
2018-11-26_17:33:14           	nih       	-0.7594   	-0.7602   	0         	0.0000    	18        
2018-11-26_17:33:14           	nih       	-0.7683   	-0.7641   	0         	0.0000    	19        
2018-11-26_17:33:14           	nih       	-0.7761   	-0.7733   	0         	0.0000    	20        
2018-11-26_17:33:14           	nih       	-0.7834   	-0.7815   	0         	0.0000    	21        
2018-11-26_17:33:14           	nih       	-0.7880   	-0.7659   	0         	0.0000    	22        
2018-11-26_17:33:14           	nih       	-0.7933   	-0.7911   	0         	0.0000    	23        
2018-11-26_17:33:14           	nih       	-0.8009   	-0.7981   	0         	0.0000    	24        
2018-11-26_17:33:15           	nih       	-0.8057   	-0.8040   	0         	0.0000    	25        
2018-11-26_17:33:15           	nih       	-0.8115   	-0.8126   	0         	0.0000    	26        
2018-11-26_17:33:15           	nih       	-0.8146   	-0.8160   	0         	0.0000    	27        
2018-11-26_17:33:15           	nih       	-0.8293   	-0.8336   	0         	0.0000    	28        
2018-11-26_17:33:15           	nih       	-0.8400   	-0.8384   	0         	0.0000    	29        
2018-11-26_17:33:15           	nih       	-0.8466   	-0.8461   	0         	0.0000    	30        
2018-11-26_17:33:15           	nih       	-0.8519   	-0.8510   	0         	0.0000    	31        
2018-11-26_17:33:15           	nih       	-0.8565   	-0.8568   	0         	0.0000    	32        
2018-11-26_17:33:15           	nih       	-0.8625   	-0.8616   	0         	0.0000    	33        
2018-11-26_17:33:15           	nih       	-0.8665   	-0.8573   	0         	0.0000    	34        
2018-11-26_17:33:15           	nih       	-0.8697   	-0.8678   	0         	0.0000    	35        
2018-11-26_17:33:15           	nih       	-0.8747   	-0.8727   	0         	0.0000    	36        
2018-11-26_17:33:16           	nih       	-0.8789   	-0.8778   	0         	0.0000    	37        
2018-11-26_17:33:16           	nih       	-0.8826   	-0.8807   	0         	0.0000    	38        
2018-11-26_17:33:16           	nih       	-0.8848   	-0.8825   	0         	0.0000    	39        
2018-11-26_17:33:16           	nih       	-0.8902   	-0.8887   	0         	0.0000    	40        
2018-11-26_17:33:16           	nih       	-0.8935   	-0.8909   	0         	0.0000    	41        
2018-11-26_17:33:16           	nih       	-0.8970   	-0.8948   	0         	0.0000    	42        
2018-11-26_17:33:16           	nih       	-0.9001   	-0.8985   	0         	0.0000    	43        
2018-11-26_17:33:16           	nih       	-0.9036   	-0.9008   	0         	0.0000    	44        
2018-11-26_17:33:16           	nih       	-0.9051   	-0.9023   	0         	0.0000    	45        
2018-11-26_17:33:16           	nih       	-0.9091   	-0.9066   	0         	0.0000    	46        
2018-11-26_17:33:16           	nih       	-0.9118   	-0.9108   	0         	0.0000    	47        
2018-11-26_17:33:16           	nih       	-0.9147   	-0.9117   	0         	0.0000    	48        
2018-11-26_17:33:17           	nih       	-0.9170   	-0.9138   	0         	0.0000    	49        
2018-11-26_17:33:17           	nih       	-0.9201   	-0.9180   	0         	0.0000    	50        
2018-11-26_17:33:17           	nih       	-0.9223   	-0.9201   	0         	0.0000    	51        
2018-11-26_17:33:17           	nih       	-0.9233   	-0.9227   	0         	0.0000    	52        
2018-11-26_17:33:17           	nih       	-0.9272   	-0.9250   	0         	0.0000    	53        
2018-11-26_17:33:17           	nih       	-0.9294   	-0.9263   	0         	0.0000    	54        
2018-11-26_17:33:17           	nih       	-0.9312   	-0.9294   	0         	0.0000    	55        
2018-11-26_17:33:17           	nih       	-0.9340   	-0.9310   	0         	0.0000    	56        
2018-11-26_17:33:17           	nih       	-0.9357   	-0.9326   	0         	0.0000    	57        
2018-11-26_17:33:17           	nih       	-0.9377   	-0.9353   	0         	0.0000    	58        
2018-11-26_17:33:17           	nih       	-0.9394   	-0.9366   	0         	0.0000    	59        
2018-11-26_17:33:17           	nih       	-0.9411   	-0.9325   	0         	0.0000    	60        
2018-11-26_17:33:18           	nih       	-0.9427   	-0.9401   	0         	0.0000    	61        
2018-11-26_17:33:18           	nih       	-0.9447   	-0.9412   	0         	0.0000    	62        
2018-11-26_17:33:18           	nih       	-0.9462   	-0.9441   	0         	0.0000    	63        
2018-11-26_17:33:18           	nih       	-0.9480   	-0.9442   	0         	0.0000    	64        
2018-11-26_17:33:18           	nih       	-0.9494   	-0.9468   	0         	0.0000    	65        
2018-11-26_17:33:18           	nih       	-0.9509   	-0.9480   	0         	0.0000    	66        
2018-11-26_17:33:18           	nih       	-0.9523   	-0.9487   	0         	0.0000    	67        
2018-11-26_17:33:18           	nih       	-0.9532   	-0.9508   	0         	0.0000    	68        
2018-11-26_17:33:18           	nih       	-0.9551   	-0.9514   	0         	0.0000    	69        
2018-11-26_17:33:18           	nih       	-0.9560   	-0.9533   	0         	0.0000    	70        
2018-11-26_17:33:18           	nih       	-0.9573   	-0.9546   	0         	0.0000    	71        
2018-11-26_17:33:18           	nih       	-0.9587   	-0.9548   	0         	0.0000    	72        
2018-11-26_17:33:18           	nih       	-0.9599   	-0.9562   	0         	0.0000    	73        
2018-11-26_17:33:19           	nih       	-0.9610   	-0.9577   	0         	0.0000    	74        
2018-11-26_17:33:19           	nih       	-0.9618   	-0.9576   	0         	0.0000    	75        
2018-11-26_17:33:19           	nih       	-0.9632   	-0.9602   	0         	0.0000    	76        
2018-11-26_17:33:19           	nih       	-0.9641   	-0.9606   	0         	0.0000    	77        
2018-11-26_17:33:19           	nih       	-0.9649   	-0.9624   	0         	0.0000    	78        
2018-11-26_17:33:19           	nih       	-0.9658   	-0.9620   	0         	0.0000    	79        
2018-11-26_17:33:19           	nih       	-0.9670   	-0.9636   	0         	0.0000    	80        
2018-11-26_17:33:19           	nih       	-0.9681   	-0.9653   	0         	0.0000    	81        
2018-11-26_17:33:19           	nih       	-0.9690   	-0.9640   	0         	0.0000    	82        
2018-11-26_17:33:19           	nih       	-0.9692   	-0.9661   	0         	0.0000    	83        
2018-11-26_17:33:19           	nih       	-0.9704   	-0.9674   	0         	0.0000    	84        
2018-11-26_17:33:19           	nih       	-0.9713   	-0.9679   	0         	0.0000    	85        
2018-11-26_17:33:20           	nih       	-0.9719   	-0.9674   	0         	0.0000    	86        
2018-11-26_17:33:20           	nih       	-0.9724   	-0.9688   	0         	0.0000    	87        
2018-11-26_17:33:20           	nih       	-0.9728   	-0.9687   	0         	0.0000    	88        
2018-11-26_17:33:20           	nih       	-0.9738   	-0.9713   	0         	0.0000    	89        
2018-11-26_17:33:20           	nih       	-0.9743   	-0.9686   	0         	0.0000    	90        
2018-11-26_17:33:20           	nih       	-0.9751   	-0.9716   	0         	0.0000    	91        
2018-11-26_17:33:20           	nih       	-0.9753   	-0.9722   	0         	0.0000    	92        
2018-11-26_17:33:20           	nih       	-0.9762   	-0.9721   	0         	0.0000    	93        
2018-11-26_17:33:20           	nih       	-0.9770   	-0.9724   	0         	0.0000    	94        
2018-11-26_17:33:20           	nih       	-0.9774   	-0.9739   	0         	0.0000    	95        
2018-11-26_17:33:20           	nih       	-0.9778   	-0.9736   	0         	0.0000    	96        
2018-11-26_17:33:20           	nih       	-0.9781   	-0.9752   	0         	0.0000    	97        
2018-11-26_17:33:21           	nih       	-0.9792   	-0.9745   	0         	0.0000    	98        
2018-11-26_17:33:21           	nih       	-0.9793   	-0.9744   	0         	0.0000    	99        
2018-11-26_17:33:21           	nih       	-0.9796   	-0.9759   	0         	0.0000    	100       
2018-11-26_17:33:21           	nih       	-0.9803   	-0.9765   	0         	0.0000    	101       
2018-11-26_17:33:21           	nih       	-0.9808   	-0.9766   	0         	0.0000    	102       
2018-11-26_17:33:21           	nih       	-0.9808   	-0.9778   	0         	0.0000    	103       
2018-11-26_17:33:21           	nih       	-0.9814   	-0.9763   	0         	0.0000    	104       
2018-11-26_17:33:21           	nih       	-0.9817   	-0.9776   	0         	0.0000    	105       
2018-11-26_17:33:21           	nih       	-0.9820   	-0.9783   	0         	0.0000    	106       
2018-11-26_17:33:21           	nih       	-0.9826   	-0.9783   	0         	0.0000    	107       
2018-11-26_17:33:21           	nih       	-0.9830   	-0.9789   	0         	0.0000    	108       
2018-11-26_17:33:21           	nih       	-0.9832   	-0.9791   	0         	0.0000    	109       
2018-11-26_17:33:21           	nih       	-0.9837   	-0.9788   	0         	0.0000    	110       
2018-11-26_17:33:22           	nih       	-0.9832   	-0.9797   	0         	0.0000    	111       
2018-11-26_17:33:22           	nih       	-0.9844   	-0.9804   	0         	0.0000    	112       
2018-11-26_17:33:22           	nih       	-0.9847   	-0.9805   	0         	0.0000    	113       
2018-11-26_17:33:22           	nih       	-0.9849   	-0.9795   	0         	0.0000    	114       
2018-11-26_17:33:22           	nih       	-0.9847   	-0.9802   	0         	0.0000    	115       
2018-11-26_17:33:22           	nih       	-0.9852   	-0.9816   	0         	0.0000    	116       
2018-11-26_17:33:22           	nih       	-0.9853   	-0.9817   	0         	0.0000    	117       
2018-11-26_17:33:22           	nih       	-0.9857   	-0.9815   	0         	0.0000    	118       
2018-11-26_17:33:22           	nih       	-0.9862   	-0.9803   	0         	0.0000    	119       
2018-11-26_17:33:22           	nih       	-0.9864   	-0.9829   	0         	0.0000    	120       
2018-11-26_17:33:22           	nih       	-0.9863   	-0.9821   	0         	0.0000    	121       
2018-11-26_17:33:22           	nih       	-0.9869   	-0.9833   	0         	0.0000    	122       
2018-11-26_17:33:22           	nih       	-0.9870   	-0.9829   	0         	0.0000    	123       
2018-11-26_17:33:23           	nih       	-0.9872   	-0.9829   	0         	0.0000    	124       
2018-11-26_17:33:23           	nih       	-0.9873   	-0.9834   	0         	0.0000    	125       
2018-11-26_17:33:23           	nih       	-0.9875   	-0.9835   	0         	0.0000    	126       
2018-11-26_17:33:23           	nih       	-0.9879   	-0.9839   	0         	0.0000    	127       
2018-11-26_17:33:23           	nih       	-0.9878   	-0.9833   	0         	0.0000    	128       
2018-11-26_17:33:23           	nih       	-0.9872   	-0.9838   	0         	0.0000    	129       
2018-11-26_17:33:23           	nih       	-0.9885   	-0.9844   	0         	0.0000    	130       
2018-11-26_17:33:23           	nih       	-0.9886   	-0.9840   	0         	0.0000    	131       
