timestamp                     	host_id   	cur_train_loss	cur_val_loss	cur_patience	best_loss 	cur_epoch 
2018-11-26_17:33:04           	vu        	-0.6412   	-0.6619   	0         	0.0000    	0         
2018-11-26_17:33:04           	vu        	-0.8583   	-0.8028   	0         	0.0000    	1         
2018-11-26_17:33:04           	vu        	-0.8933   	-0.7765   	0         	0.0000    	2         
2018-11-26_17:33:04           	vu        	-0.9092   	-0.8880   	0         	0.0000    	3         
2018-11-26_17:33:04           	vu        	-0.9215   	-0.9026   	0         	0.0000    	4         
2018-11-26_17:33:04           	vu        	-0.9298   	-0.9042   	0         	0.0000    	5         
2018-11-26_17:33:04           	vu        	-0.9367   	-0.9212   	0         	0.0000    	6         
2018-11-26_17:33:04           	vu        	-0.9423   	-0.9103   	0         	0.0000    	7         
2018-11-26_17:33:04           	vu        	-0.9463   	-0.9261   	0         	0.0000    	8         
2018-11-26_17:33:05           	vu        	-0.9500   	-0.9295   	0         	0.0000    	9         
2018-11-26_17:33:05           	vu        	-0.9527   	-0.9338   	0         	0.0000    	10        
2018-11-26_17:33:05           	vu        	-0.9555   	-0.9456   	0         	0.0000    	11        
2018-11-26_17:33:05           	vu        	-0.9572   	-0.9440   	0         	0.0000    	12        
2018-11-26_17:33:05           	vu        	-0.9608   	-0.9454   	0         	0.0000    	13        
2018-11-26_17:33:05           	vu        	-0.9627   	-0.9553   	0         	0.0000    	14        
2018-11-26_17:33:05           	vu        	-0.9642   	-0.9519   	0         	0.0000    	15        
2018-11-26_17:33:05           	vu        	-0.9656   	-0.9555   	0         	0.0000    	16        
2018-11-26_17:33:05           	vu        	-0.9663   	-0.9647   	0         	0.0000    	17        
2018-11-26_17:33:05           	vu        	-0.9689   	-0.9623   	0         	0.0000    	18        
2018-11-26_17:33:05           	vu        	-0.9701   	-0.9645   	0         	0.0000    	19        
2018-11-26_17:33:05           	vu        	-0.9709   	-0.9639   	0         	0.0000    	20        
2018-11-26_17:33:05           	vu        	-0.9723   	-0.9659   	0         	0.0000    	21        
2018-11-26_17:33:06           	vu        	-0.9721   	-0.9673   	0         	0.0000    	22        
2018-11-26_17:33:06           	vu        	-0.9729   	-0.9711   	0         	0.0000    	23        
2018-11-26_17:33:06           	vu        	-0.9754   	-0.9714   	0         	0.0000    	24        
2018-11-26_17:33:06           	vu        	-0.9760   	-0.9712   	0         	0.0000    	25        
2018-11-26_17:33:06           	vu        	-0.9765   	-0.9669   	0         	0.0000    	26        
2018-11-26_17:33:06           	vu        	-0.9775   	-0.9763   	0         	0.0000    	27        
2018-11-26_17:33:06           	vu        	-0.9779   	-0.9760   	0         	0.0000    	28        
2018-11-26_17:33:06           	vu        	-0.9783   	-0.9756   	0         	0.0000    	29        
2018-11-26_17:33:06           	vu        	-0.9790   	-0.9755   	0         	0.0000    	30        
2018-11-26_17:33:06           	vu        	-0.9795   	-0.9773   	0         	0.0000    	31        
2018-11-26_17:33:06           	vu        	-0.9801   	-0.9746   	0         	0.0000    	32        
2018-11-26_17:33:06           	vu        	-0.9804   	-0.9781   	0         	0.0000    	33        
2018-11-26_17:33:06           	vu        	-0.9810   	-0.9799   	0         	0.0000    	34        
2018-11-26_17:33:07           	vu        	-0.9817   	-0.9753   	0         	0.0000    	35        
2018-11-26_17:33:07           	vu        	-0.9811   	-0.9798   	0         	0.0000    	36        
2018-11-26_17:33:07           	vu        	-0.9824   	-0.9807   	0         	0.0000    	37        
2018-11-26_17:33:07           	vu        	-0.9826   	-0.9786   	0         	0.0000    	38        
2018-11-26_17:33:07           	vu        	-0.9830   	-0.9809   	0         	0.0000    	39        
2018-11-26_17:33:07           	vu        	-0.9832   	-0.9767   	0         	0.0000    	40        
2018-11-26_17:33:07           	vu        	-0.9833   	-0.9831   	0         	0.0000    	41        
2018-11-26_17:33:07           	vu        	-0.9835   	-0.9816   	0         	0.0000    	42        
2018-11-26_17:33:07           	vu        	-0.9842   	-0.9797   	0         	0.0000    	43        
2018-11-26_17:33:07           	vu        	-0.9845   	-0.9824   	0         	0.0000    	44        
2018-11-26_17:33:07           	vu        	-0.9846   	-0.9811   	0         	0.0000    	45        
2018-11-26_17:33:07           	vu        	-0.9846   	-0.9824   	0         	0.0000    	46        
2018-11-26_17:33:07           	vu        	-0.9850   	-0.9810   	0         	0.0000    	47        
2018-11-26_17:33:08           	vu        	-0.9855   	-0.9806   	0         	0.0000    	48        
2018-11-26_17:33:08           	vu        	-0.9854   	-0.9846   	0         	0.0000    	49        
2018-11-26_17:33:08           	vu        	-0.9860   	-0.9840   	0         	0.0000    	50        
2018-11-26_17:33:08           	vu        	-0.9860   	-0.9834   	0         	0.0000    	51        
2018-11-26_17:33:08           	vu        	-0.9863   	-0.9849   	0         	0.0000    	52        
2018-11-26_17:33:08           	vu        	-0.9862   	-0.9824   	0         	0.0000    	53        
